uniprot_accession,organism_type,gh_family,sequence_length,molecular_weight,aromaticity,instability_index,isoelectric_point,gravy,helix_fraction,turn_fraction,sheet_fraction,aa_fraction_A,aa_fraction_C,aa_fraction_D,aa_fraction_E,aa_fraction_F,aa_fraction_G,aa_fraction_H,aa_fraction_I,aa_fraction_K,aa_fraction_L,aa_fraction_M,aa_fraction_N,aa_fraction_P,aa_fraction_Q,aa_fraction_R,aa_fraction_S,aa_fraction_T,aa_fraction_V,aa_fraction_W,aa_fraction_Y
A0A097GSM2,bacterial,GH10,449,46774.253800000006,0.0935412026726058,29.608908685968796,6.24276294708252,-0.18017817371937642,0.27616926503340755,0.33184855233853006,0.34521158129175944,0.14699331848552338,0.013363028953229399,0.062360801781737196,0.022271714922048998,0.0400890868596882,0.11358574610244988,0.017817371937639197,0.022271714922048998,0.0378619153674833,0.053452115812917596,0.015590200445434299,0.044543429844097995,0.0334075723830735,0.028953229398663696,0.0400890868596882,0.0779510022271715,0.10244988864142539,0.07349665924276169,0.022271714922048998,0.031180400890868598
A0A0A0B770,bacterial,GH10,631,69442.97200000001,0.09350237717908083,34.78938193343903,4.7382917404174805,-0.38969889064976226,0.30427892234548337,0.2900158478605388,0.347068145800317,0.12519809825673534,0.003169572107765452,0.07448494453248812,0.07765451664025357,0.039619651347068144,0.08082408874801902,0.020602218700475437,0.028526148969889066,0.01584786053882726,0.07131537242472266,0.014263074484944533,0.03486529318541997,0.04754358161648178,0.028526148969889066,0.07765451664025357,0.05229793977812995,0.07448494453248812,0.07923930269413629,0.02694136291600634,0.02694136291600634
A0A0A0YZE1,bacterial,GH10,380,43336.3785,0.10789473684210527,26.726842105263167,4.829120445251465,-0.4615789473684211,0.3421052631578947,0.29210526315789476,0.36052631578947364,0.07894736842105263,0.0,0.09210526315789473,0.08157894736842106,0.04473684210526316,0.060526315789473685,0.018421052631578946,0.060526315789473685,0.07894736842105263,0.08157894736842106,0.021052631578947368,0.05,0.04736842105263158,0.02894736842105263,0.039473684210526314,0.042105263157894736,0.03684210526315789,0.07368421052631578,0.02368421052631579,0.039473684210526314
A0A0C4JZH7,bacterial,GH10,409,48152.606799999994,0.12224938875305624,27.88166259168704,6.1299943923950195,-0.7068459657701712,0.33496332518337407,0.2469437652811736,0.3276283618581907,0.07823960880195599,0.0024449877750611247,0.0488997555012225,0.10024449877750612,0.05378973105134474,0.061124694376528114,0.05378973105134474,0.0488997555012225,0.061124694376528114,0.06845965770171149,0.02689486552567237,0.07090464547677261,0.03667481662591687,0.039119804400977995,0.06356968215158924,0.029339853300733496,0.02444987775061125,0.06356968215158924,0.034229828850855744,0.034229828850855744
A0A0E9LUL8,bacterial,GH10,629,69356.402,0.11605723370429252,25.845659777424476,5.030785179138183,-0.24117647058823533,0.2702702702702703,0.3211446740858505,0.38473767885532595,0.0794912559618442,0.003179650238473768,0.05564387917329094,0.057233704292527825,0.04133545310015898,0.10015898251192369,0.028616852146263912,0.04292527821939587,0.033386327503974564,0.07631160572337042,0.02384737678855326,0.06359300476947535,0.025437201907790145,0.03179650238473768,0.03656597774244833,0.07631160572337042,0.06518282988871224,0.08426073131955485,0.02384737678855326,0.05087440381558029
A0A0H4PZJ3,bacterial,GH10,416,47431.193400000004,0.11538461538461539,28.122620192307686,6.282720756530763,-0.4295673076923077,0.31971153846153844,0.29086538461538464,0.36778846153846156,0.07451923076923077,0.007211538461538462,0.057692307692307696,0.0625,0.04567307692307692,0.07211538461538461,0.026442307692307692,0.07211538461538461,0.0673076923076923,0.09134615384615384,0.02403846153846154,0.06490384615384616,0.036057692307692304,0.036057692307692304,0.04326923076923077,0.06009615384615385,0.055288461538461536,0.03365384615384615,0.028846153846153848,0.040865384615384616
A0A0H5SGJ0,bacterial,GH10,430,49213.1944,0.12093023255813953,34.26658139534882,4.395041084289551,-0.43930232558139537,0.3023255813953488,0.3046511627906977,0.40232558139534885,0.04883720930232558,0.009302325581395349,0.09302325581395349,0.08139534883720931,0.037209302325581395,0.06976744186046512,0.01627906976744186,0.08139534883720931,0.06511627906976744,0.09069767441860466,0.01627906976744186,0.06744186046511629,0.01627906976744186,0.03488372093023256,0.020930232558139535,0.05813953488372093,0.05813953488372093,0.05116279069767442,0.018604651162790697,0.06511627906976744
A0A0H5SIJ4,bacterial,GH10,408,46486.59299999999,0.10294117647058824,29.103700980392148,5.042152976989747,-0.28725490196078435,0.3382352941176471,0.2647058823529412,0.37745098039215685,0.07107843137254902,0.01715686274509804,0.07107843137254902,0.08333333333333333,0.051470588235294115,0.06372549019607843,0.022058823529411766,0.06862745098039216,0.06862745098039216,0.08823529411764706,0.02696078431372549,0.04411764705882353,0.049019607843137254,0.02696078431372549,0.041666666666666664,0.03676470588235294,0.058823529411764705,0.058823529411764705,0.029411764705882353,0.022058823529411766
A0A0H5SUD7,bacterial,GH10,525,57776.5113,0.13142857142857142,28.807466666666667,5.10802936553955,-0.17428571428571432,0.19999999999999998,0.3676190476190476,0.4076190476190476,0.06476190476190476,0.011428571428571429,0.05904761904761905,0.022857142857142857,0.049523809523809526,0.08,0.015238095238095238,0.05904761904761905,0.03238095238095238,0.06476190476190476,0.015238095238095238,0.08952380952380952,0.03428571428571429,0.03619047619047619,0.02666666666666667,0.10476190476190476,0.07047619047619047,0.08190476190476191,0.013333333333333334,0.06857142857142857
A0A0H5SWS9,bacterial,GH10,705,78962.795,0.11347517730496454,32.03832624113476,4.735392951965332,-0.3668085106382979,0.2921985815602837,0.31347517730496455,0.4042553191489362,0.07234042553191489,0.0070921985815602835,0.06382978723404255,0.06099290780141844,0.03404255319148936,0.05531914893617021,0.011347517730496455,0.04964539007092199,0.05815602836879433,0.07801418439716312,0.02269503546099291,0.07092198581560284,0.06382978723404255,0.02553191489361702,0.024113475177304965,0.059574468085106386,0.09078014184397164,0.07234042553191489,0.019858156028368795,0.059574468085106386
